Starting Mock Data Server with Embedded NATS...
 - NATS: :4222
 - WS:   :4223
 - Stream: :8080/stream
[2026-01-25T19:50:42.263-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- MSG_PAYLOAD: ["{\"type\":\"io.nats.server.advisory.v1.account_connections\",\"id\":\"IS106azWWyXBzOUgTpdVEJ\",\"timestamp\":\"2026-01-26T03:50:42.263015151Z\",\"server\":{\"name\":\"NAPKRKBMSRJ4IAN5JVJQWPLU74CW5HHIPX7VGFXVTWI3EJGANDGCRRWU\",\"host\":\"0.0.0.0\",\"id\":\"NAPKRKBMSRJ4IAN5JVJQWPLU74CW5HHIPX7VGFXVTWI3EJGANDGCRRWU\",\"ver\":\"2.12.3\",\"jetstream\":false,\"flags\":0,\"seq\":3,\"time\":\"2026-01-26T03:50:42.263822321Z\"},\"acc\":\"$SYS\",\"name\":\"$SYS\",\"conns\":0,\"leafnodes\":0,\"total_conns\":0,\"num_subscriptions\":0,\"sent\":{\"msgs\":0,\"bytes\":0,\"gateways\":{\"msgs\":0,\"bytes\":0},\"routes\":{\"msgs\":0,\"bytes\":0},\"leafs\":{\"msgs\":0,\"bytes\":0}},\"received\":{\"msgs\":0,\"bytes\":0,\"gateways\":{\"msgs\":0,\"bytes\":0},\"routes\":{\"msgs\":0,\"bytes\":0},\"leafs\":{\"msgs\":0,\"bytes\":0}},\"slow_consumers\":0}"]
[2026-01-25T19:50:42.263-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [PUB $SYS.SERVER.ACCOUNT.$SYS.CONNS  731]
[2026-01-25T19:50:42.263-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- MSG_PAYLOAD: ["{\"type\":\"io.nats.server.advisory.v1.account_connections\",\"id\":\"IS106azWWyXBzOUgTpdVG1\",\"timestamp\":\"2026-01-26T03:50:42.263243799Z\",\"server\":{\"name\":\"NAPKRKBMSRJ4IAN5JVJQWPLU74CW5HHIPX7VGFXVTWI3EJGANDGCRRWU\",\"host\":\"0.0.0.0\",\"id\":\"NAPKRKBMSRJ4IAN5JVJQWPLU74CW5HHIPX7VGFXVTWI3EJGANDGCRRWU\",\"ver\":\"2.12.3\",\"jetstream\":false,\"flags\":0,\"seq\":4,\"time\":\"2026-01-26T03:50:42.263899115Z\"},\"acc\":\"$SYS\",\"name\":\"$SYS\",\"conns\":0,\"leafnodes\":0,\"total_conns\":0,\"num_subscriptions\":3,\"sent\":{\"msgs\":0,\"bytes\":0,\"gateways\":{\"msgs\":0,\"bytes\":0},\"routes\":{\"msgs\":0,\"bytes\":0},\"leafs\":{\"msgs\":0,\"bytes\":0}},\"received\":{\"msgs\":0,\"bytes\":0,\"gateways\":{\"msgs\":0,\"bytes\":0},\"routes\":{\"msgs\":0,\"bytes\":0},\"leafs\":{\"msgs\":0,\"bytes\":0}},\"slow_consumers\":0}"]
[2026-01-25T19:50:42.263-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.PING.SUBSZ  41]
[2026-01-25T19:50:42.263-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [PUB $SYS.ACCOUNT.$SYS.SERVER.CONNS  731]
[2026-01-25T19:50:42.264-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- MSG_PAYLOAD: ["{\"type\":\"io.nats.server.advisory.v1.account_connections\",\"id\":\"IS106azWWyXBzOUgTpdVG1\",\"timestamp\":\"2026-01-26T03:50:42.263243799Z\",\"server\":{\"name\":\"NAPKRKBMSRJ4IAN5JVJQWPLU74CW5HHIPX7VGFXVTWI3EJGANDGCRRWU\",\"host\":\"0.0.0.0\",\"id\":\"NAPKRKBMSRJ4IAN5JVJQWPLU74CW5HHIPX7VGFXVTWI3EJGANDGCRRWU\",\"ver\":\"2.12.3\",\"jetstream\":false,\"flags\":0,\"seq\":5,\"time\":\"2026-01-26T03:50:42.263975454Z\"},\"acc\":\"$SYS\",\"name\":\"$SYS\",\"conns\":0,\"leafnodes\":0,\"total_conns\":0,\"num_subscriptions\":3,\"sent\":{\"msgs\":0,\"bytes\":0,\"gateways\":{\"msgs\":0,\"bytes\":0},\"routes\":{\"msgs\":0,\"bytes\":0},\"leafs\":{\"msgs\":0,\"bytes\":0}},\"received\":{\"msgs\":0,\"bytes\":0,\"gateways\":{\"msgs\":0,\"bytes\":0},\"routes\":{\"msgs\":0,\"bytes\":0},\"leafs\":{\"msgs\":0,\"bytes\":0}},\"slow_consumers\":0}"]
[2026-01-25T19:50:42.264-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.ACCOUNT.*.SUBSZ  42]
[2026-01-25T19:50:42.264-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.ACCOUNT.*.CONNZ  43]
[2026-01-25T19:50:42.264-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.ACCOUNT.*.LEAFZ  44]
[2026-01-25T19:50:42.264-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.ACCOUNT.*.JSZ  45]
